Series_reference,Period,Data_value
BDCQ.SEA1AA,2011.06,80078
BDCQ.SEA1AA,2011.09,78324
BDCQ.SEA1AA,2011.12,85850
BDCQ.SEA1AA,2012.03,90743
BDCQ.SEA1AA,2012.06,81780
BDCQ.SEA1AA,2012.09,79261
BDCQ.SEA1AA,2012.12,87793
BDCQ.SEA1AA,2013.03,91571
BDCQ.SEA1AA,2013.06,81687
BDCQ.SEA1AA,2013.09,81471
BDCQ.SEA1AA,2013.12,93950
BDCQ.SEA1AA,2014.03,97208
BDCQ.SEA1AA,2014.06,85879
BDCQ.SEA1AA,2014.09,84447
BDCQ.SEA1AA,2014.12,95075
BDCQ.SEA1AA,2015.03,98202
BDCQ.SEA1AA,2015.06,87987
BDCQ.SEA1AA,2015.09,84529
BDCQ.SEA1AA,2015.12,96848
BDCQ.SEA1AA,2016.03,99291
BDCQ.SEA1AA,2016.06,88716
BDCQ.SEA1AA,2016.09,85933
BDCQ.SEA1AA,2016.12,96540
BDCQ.SEA1AA,2017.03,98994
BDCQ.SEA1AA,2017.06,90510
BDCQ.SEA1AA,2017.09,87089
BDCQ.SEA1AA,2017.12,98933
BDCQ.SEA1AA,2018.03,101168
BDCQ.SEA1AA,2018.06,90766
BDCQ.SEA1AA,2018.09,86929
BDCQ.SEA1AA,2018.12,100290
BDCQ.SEA1AA,2019.03,102031
BDCQ.SEA1AA,2019.06,90836
BDCQ.SEA1AA,2019.09,88032
BDCQ.SEA1AA,2019.12,100531
BDCQ.SEA1AA,2020.03,100947
BDCQ.SEA1AA,2020.06,93239
BDCQ.SEA1AA,2020.09,92891
BDCQ.SEA1AA,2020.12,102338
BDCQ.SEA1AA,2021.03,101032
BDCQ.SEA1AA,2021.06,92929
BDCQ.SEA1AS,2011.06,83975
BDCQ.SEA1AS,2011.09,84189
BDCQ.SEA1AS,2011.12,82507
BDCQ.SEA1AS,2012.03,84369
BDCQ.SEA1AS,2012.06,85744
BDCQ.SEA1AS,2012.09,85247
BDCQ.SEA1AS,2012.12,84319
BDCQ.SEA1AS,2013.03,85169
BDCQ.SEA1AS,2013.06,85615
BDCQ.SEA1AS,2013.09,87709
BDCQ.SEA1AS,2013.12,90130
BDCQ.SEA1AS,2014.03,90488
BDCQ.SEA1AS,2014.06,89919
BDCQ.SEA1AS,2014.09,91059
BDCQ.SEA1AS,2014.12,91061
BDCQ.SEA1AS,2015.03,91531
BDCQ.SEA1AS,2015.06,92007
BDCQ.SEA1AS,2015.09,91286
BDCQ.SEA1AS,2015.12,92617
BDCQ.SEA1AS,2016.03,92692
BDCQ.SEA1AS,2016.06,92616
BDCQ.SEA1AS,2016.09,92953
BDCQ.SEA1AS,2016.12,92153
BDCQ.SEA1AS,2017.03,92620
BDCQ.SEA1AS,2017.06,94315
BDCQ.SEA1AS,2017.09,94318
BDCQ.SEA1AS,2017.12,94244
BDCQ.SEA1AS,2018.03,94923
BDCQ.SEA1AS,2018.06,94410
BDCQ.SEA1AS,2018.09,94241
BDCQ.SEA1AS,2018.12,95305
BDCQ.SEA1AS,2019.03,96021
BDCQ.SEA1AS,2019.06,94357
BDCQ.SEA1AS,2019.09,95492
BDCQ.SEA1AS,2019.12,95318
BDCQ.SEA1AS,2020.03,95260
BDCQ.SEA1AS,2020.06,96764
BDCQ.SEA1AS,2020.09,100784
BDCQ.SEA1AS,2020.12,96869
BDCQ.SEA1AS,2021.03,95542
BDCQ.SEA1AS,2021.06,96375
BDCQ.SEA1AT,2011.06,
BDCQ.SEA1AT,2011.09,
BDCQ.SEA1AT,2011.12,
BDCQ.SEA1AT,2012.03,
BDCQ.SEA1AT,2012.06,
BDCQ.SEA1AT,2012.09,
BDCQ.SEA1AT,2012.12,
BDCQ.SEA1AT,2013.03,
BDCQ.SEA1AT,2013.06,
BDCQ.SEA1AT,2013.09,
BDCQ.SEA1AT,2013.12,
BDCQ.SEA1AT,2014.03,
BDCQ.SEA1AT,2014.06,
BDCQ.SEA1AT,2014.09,
BDCQ.SEA1AT,2014.12,
BDCQ.SEA1AT,2015.03,
BDCQ.SEA1AT,2015.06,
